sinno_id,innovation_type
5999001,999
6031001,999
6110001,110
6110001,203
6945001,203
6945001,103
7218001,999
7373001,999
7374001,999
7375001,501
7376001,602
7377001,161
7377001,213
7384001,999
7388001,999
7392001,999
7401001,112
7402001,601
7406001,602
7425001,112
7428001,602
7428001,601
7429001,112
7442001,103
7442001,602
7442001,601
7453001,207
7461001,112
7467001,601
7467001,602
7468001,601
7470001,207
7471001,601
7477001,601
7478001,112
7478001,204
7482001,999
7487001,105
7497001,213
7497001,207
7513001,203
7513001,501
7513001,213
7515001,112
7515001,162
7614001,213
7614001,501
7614001,161
7827001,999
8422001,103
8422001,204
9398001,212
9398001,206
9535001,601
9535001,602
9535001,212
9539001,207
9539001,602
10882001,207
10928001,102
10928001,207
11016001,103
11399001,206
11399001,110
11399001,202
12639001,211
12639001,206
13013001,112
16067001,601
16067001,309
